cid,bdate,gen
NASAW00011331,3/1/1974,Female
NASAW00011332,2/4/1968,Female
NASAW00011333,7/1/1968,Female
NASAW00011334,19/9/1966,Female
NASAW00011335,18/12/1977,Female
NASAW00011336,8/3/1973,Male
NASAW00011337,21/3/1967,Male
NASAW00011338,6/8/1972,Male
NASAW00011339,5/1/1967,Male
NASAW00011340,3/4/1947,Female
NASAW00011341,18/2/1942,Male
NASAW00011342,7/3/1973,Male
NASAW00011343,9/3/1975,Male
NASAW00011344,21/1/1963,Female
NASAW00011345,9/9/1962,Female
NASAW00011346,18/5/1966,Female
NASAW00011347,17/6/1972,Male
NASAW00011348,21/3/1961,Male
NASAW00011349,30/8/1965,Female
NASAW00011350,14/7/1942,Female
NASAW00011351,2/4/1950,Female
NASAW00011352,4/9/1945,Male
NASAW00011353,9/12/1946,Female
NASAW00011354,23/8/1947,Female
NASAW00011355,26/6/1948,Male
NASAW00011356,24/11/1985,Male
NASAW00011357,19/9/1984,Male
NASAW00011358,10/5/1984,Female
NASAW00011359,3/3/1984,Male
NASAW00011360,30/1/1984,Male
NASAW00011361,26/10/1982,Female
NASAW00011362,11/5/1983,Male
NASAW00011363,19/4/1983,Male
NASAW00011364,22/3/1985,Female
NASAW00011365,6/12/1984,Female
NASAW00011366,23/4/1985,Female
NASAW00011367,21/8/1984,Male
NASAW00011368,24/5/1984,Male
NASAW00011369,1/2/1984,Female
NASAW00011370,29/9/1983,Female
NASAW00011371,24/11/1983,Female
NASAW00011372,12/11/1983,Female
NASAW00011373,16/9/1954,Female
NASAW00011374,25/12/1948,Male
NASAW00011375,5/11/1948,Male
NASAW00011376,7/12/1948,Male
NASAW00011377,23/8/1966,Male
NASAW00011378,19/11/1965,Female
NASAW00011379,13/5/1976,Male
NASAW00011380,29/8/1964,Male
NASAW00011381,18/8/1970,Female
NASAW00011382,15/7/1974,Male
NASAW00011383,25/2/1966,Female
NASAW00011384,13/10/1971,Female
NASAW00011385,8/8/1971,Male
NASAW00011386,2/11/1971,Female
NASAW00011387,29/11/1964,Female
NASAW00011388,20/1/1965,Male
NASAW00011389,20/4/1981,Male
NASAW00011390,17/4/1976,Female
NASAW00011391,25/6/1976,Female
NASAW00011392,3/2/1981,Male
NASAW00011393,17/7/1974,Male
NASAW00011394,22/4/1975,Male
NASAW00011395,16/4/1976,Female
NASAW00011396,4/4/1975,Male
NASAW00011397,2/12/1974,Female
NASAW00011398,9/3/1975,Male
NASAW00011399,1/2/1975,Female
NASAW00011400,15/4/1980,Male
NASAW00011401,23/2/1975,Female
NASAW00011402,20/5/1975,Female
NASAW00011403,6/1/1980,Female
NASAW00011404,30/6/1957,Female
NASAW00011405,16/8/1957,Female
NASAW00011406,31/12/1957,Female
NASAW00011407,30/9/1957,Male
NASAW00011408,10/5/1964,Male
NASAW00011409,2/3/1979,Female
NASAW00011410,22/2/2042,Male
NASAW00011411,12/8/1959,Male
NASAW00011412,7/10/1959,Female
NASAW00011413,13/10/1959,Female
NASAW00011414,15/9/1959,Male
NASAW00011415,3/12/1949,Male
NASAW00011416,16/9/1950,Female
NASAW00011417,26/8/1950,Female
NASAW00011418,9/8/1950,Male
NASAW00011419,18/8/1950,Male
NASAW00011420,9/1/1952,Male
NASAW00011421,16/1/1952,Female
NASAW00011422,29/2/1952,Male
NASAW00011423,4/5/1960,Female
NASAW00011424,3/12/1964,Female
NASAW00011425,2/8/1965,Female
NASAW00011426,1/4/1959,Male
NASAW00011427,17/6/1959,Female
NASAW00011428,19/2/1959,Female
NASAW00011429,13/1/1958,Male
NASAW00011430,21/9/1957,Female
NASAW00011431,20/10/1974,Male
NASAW00011432,10/3/1957,Female
NASAW00011433,1/3/1957,Male
NASAW00011434,2/5/1962,Male
NASAW00011435,3/9/1955,Female
NASAW00011436,17/3/1956,Female
NASAW00011437,16/6/1955,Male
NASAW00011438,13/4/1955,Female
NASAW00011439,14/11/1953,Female
NASAW00011440,26/3/1953,Male
NASAW00011441,9/12/1952,Female
NASAW00011442,13/5/1953,Male
NASAW00011443,19/11/1981,Female
NASAW00011444,26/10/1981,Female
NASAW00011445,18/1/1980,Female
NASAW00011446,9/2/1980,Female
NASAW00011447,13/2/1980,Female
NASAW00011448,25/10/1980,Male
NASAW00011449,1/8/1980,Male
NASAW00011450,11/5/1981,Male
NASAW00011451,8/5/1980,Male
NASAW00011452,5/5/1979,Female
NASAW00011453,17/8/1984,Male
NASAW00011454,20/10/1979,Female
NASAW00011455,19/10/1979,Male
NASAW00011456,5/1/1980,Male
NASAW00011457,18/11/1978,Female
NASAW00011458,3/10/1978,Female
NASAW00011459,12/4/1978,Female
NASAW00011460,4/10/1983,Male
NASAW00011461,22/9/1977,Male
NASAW00011462,18/7/1977,Female
NASAW00011463,9/9/1977,Female
NASAW00011464,15/5/1977,Male
NASAW00011465,18/8/1976,Male
NASAW00011466,30/1/1977,Male
NASAW00011467,6/4/1975,Male
NASAW00011468,15/12/1980,Female
NASAW00011469,14/10/1978,Male
NASAW00011470,25/3/1979,Male
NASAW00011471,25/3/1979,Female
NASAW00011472,30/9/1968,Male
NASAW00011473,30/1/1986,Female
NASAW00011474,21/8/1985,Male
NASAW00011475,7/4/1984,Male
NASAW00011476,16/5/1980,Female
NASAW00011477,21/6/1984,Male
NASAW00011478,22/2/1984,Male
NASAW00011479,20/10/1978,Male
NASAW00011480,7/3/1984,Female
NASAW00011481,20/11/1978,Female
NASAW00011482,16/1/1978,Female
NASAW00011483,19/5/1983,Male
NASAW00011484,3/3/1983,Male
NASAW00011485,4/2/1978,Male
NASAW00011486,21/5/1982,Female
NASAW00011487,5/1/1977,Female
NASAW00011488,20/3/1977,Male
NASAW00011489,3/9/1976,Female
NASAW00011490,5/7/1976,Male
NASAW00011491,2/4/1982,Male
NASAW00011492,15/11/1982,Male
NASAW00011493,31/5/1976,Female
NASAW00011494,25/1/1976,Male
NASAW00011495,3/3/1977,Male
NASAW00011496,15/4/1976,Male
NASAW00011497,22/11/1981,Female
NASAW00011498,15/7/1979,Male
NASAW00011499,13/5/1980,Male
NASAW00011500,17/3/1980,Female
NASAW00011501,3/1/1981,Female
NASAW00011502,3/9/1980,Male
NASAW00011503,11/4/1936,Male
NASAW00011504,17/10/1936,Female
NASAW00011505,4/1/1972,Female
NASAW00011506,14/11/1971,Male
NASAW00011507,19/5/1972,Female
NASAW00011508,4/1/1972,Female
NASAW00011509,22/7/1964,Female
NASAW00011510,10/1/1959,Male
NASAW00011511,10/6/1964,Male
NASAW00011512,5/8/1976,Female
NASAW00011513,23/9/1965,Female
NASAW00011514,16/4/1965,Male
NASAW00011515,25/8/1959,Female
NASAW00011516,13/10/1976,Female
NASAW00011517,18/12/1959,Female
NASAW00011518,6/11/1960,Male
NASAW00011519,13/9/1960,Male
NASAW00011520,8/10/1960,Female
NASAW00011521,1/12/1977,Female
NASAW00011522,17/6/1972,Male
NASAW00011523,7/2/1962,Male
NASAW00011524,22/7/1961,Female
NASAW00011525,8/7/1961,Female
NASAW00011526,30/1/1973,Female
NASAW00011527,2/12/1961,Female
NASAW00011528,15/8/1968,Female
NASAW00011529,16/5/1963,Male
NASAW00011530,23/1/1963,Male
NASAW00011531,7/7/1962,Female
NASAW00011532,26/8/1962,Female
NASAW00011533,17/7/1968,Female
NASAW00011534,12/5/1964,Male
NASAW00011535,31/12/1963,Male
NASAW00011536,13/4/1969,Male
NASAW00011537,21/9/1963,Male
NASAW00011538,24/2/1965,Female
NASAW00011539,18/8/1970,Male
NASAW00011540,24/1/1970,Male
NASAW00011541,9/10/1964,Male
NASAW00011542,7/9/1979,Male
NASAW00011543,16/8/1973,Female
NASAW00011544,4/5/1979,Male
NASAW00011545,22/9/1973,Male
NASAW00011546,11/9/1973,Female
NASAW00011547,5/3/1979,Female
NASAW00011548,11/4/1974,Male
NASAW00011549,3/9/1979,Female
NASAW00011550,5/8/1979,Female
NASAW00011551,21/5/2050,Male
NASAW00011552,23/11/1972,Male
NASAW00011553,8/3/1973,Female
NASAW00011554,27/3/1932,Female
NASAW00011555,4/7/1937,Female
NASAW00011556,10/11/1972,Male
NASAW00011557,14/7/1972,Female
NASAW00011558,18/2/1973,Male
NASAW00011559,12/12/1978,Male
NASAW00011560,9/8/1978,Female
NASAW00011561,21/1/1972,Female
NASAW00011562,17/10/2038,Male
NASAW00011563,1/8/1971,Male
NASAW00011564,9/1/1972,Male
NASAW00011565,30/12/1971,Male
NASAW00011566,1/3/1973,Female
NASAW00011567,19/9/1978,Female
NASAW00011568,21/4/1972,Female
NASAW00011569,6/5/1977,Male
NASAW00011570,22/7/1971,Female
NASAW00011571,15/11/1971,Male
NASAW00011572,11/3/1977,Male
NASAW00011573,11/11/1976,Female
NASAW00011574,14/1/1971,Female
NASAW00011575,19/10/1970,Male
NASAW00011576,10/8/1970,Male
NASAW00011577,21/4/1971,Female
NASAW00011578,8/5/1970,Female
NASAW00011579,13/2/1981,Male
NASAW00011580,12/3/1939,Male
NASAW00011581,3/3/2045,Female
NASAW00011582,9/4/1974,Female
NASAW00011583,26/3/1971,Female
NASAW00011584,22/5/1971,Male
NASAW00011585,4/3/1976,Female
NASAW00011586,14/6/1971,Male
NASAW00011587,18/10/1975,Male
NASAW00011588,11/1/1970,Female
NASAW00011589,1/5/1975,Female
NASAW00011590,12/4/1980,Female
NASAW00011591,12/11/1968,Female
NASAW00011592,3/3/1984,Male
NASAW00011593,22/9/1982,Male
NASAW00011594,3/5/1985,Male
NASAW00011595,29/12/1984,Male
NASAW00011596,2/3/1969,Male
NASAW00011597,6/8/1983,Female
NASAW00011598,30/12/1983,Female
NASAW00011599,16/3/1983,Female
NASAW00011600,5/10/1982,Female
NASAW00011601,18/2/1983,Male
NASAW00011602,11/10/1982,Male
NASAW00011603,6/8/1982,Male
NASAW00011604,1/12/1982,Male
NASAW00011605,20/5/1982,Female
NASAW00011606,30/1/1986,Female
NASAW00011607,5/5/1986,Male
NASAW00011608,1/9/1981,Male
NASAW00011609,24/12/1981,Male
NASAW00011610,20/10/1980,Male
NASAW00011611,23/2/1985,Male
NASAW00011612,7/10/1985,Male
NASAW00011613,2/5/1981,Female
NASAW00011614,13/2/1981,Female
NASAW00011615,20/5/1981,Male
NASAW00011616,5/9/1980,Female
NASAW00011617,1/10/1964,Male
NASAW00011618,21/10/1964,Male
NASAW00011619,29/10/1978,Female
NASAW00011620,18/10/1978,Female
NASAW00011621,19/8/1978,Female
NASAW00011622,16/6/1979,Male
NASAW00011623,25/12/1978,Female
NASAW00011624,19/3/1984,Male
NASAW00011625,19/7/1978,Male
NASAW00011626,12/12/1978,Female
NASAW00011627,27/8/1978,Male
NASAW00011628,14/11/1977,Female
NASAW00011629,7/8/1976,Male
NASAW00011630,23/6/1977,Female
NASAW00011631,12/8/1976,Male
NASAW00011632,2/5/1982,Female
NASAW00011633,23/11/1977,Male
NASAW00011634,10/12/1977,Male
NASAW00011635,11/8/1983,Male
NASAW00011636,21/6/1978,Female
NASAW00011637,11/8/1983,Female
NASAW00011638,9/9/1977,Male
NASAW00011639,22/6/1978,Female
NASAW00011640,31/10/1975,Female
NASAW00011641,9/2/1976,Male
NASAW00011642,24/6/1976,Female
NASAW00011643,24/1/1976,Female
NASAW00011644,6/4/1975,Male
NASAW00011645,18/4/1975,Female
NASAW00011646,15/3/1980,Female
NASAW00011647,22/3/1975,Male
NASAW00011648,12/4/1980,Male
NASAW00011649,23/1/1980,Male
NASAW00011650,23/1/1975,Male
NASAW00011651,13/12/1982,Female
NASAW00011652,1/5/1982,Male
NASAW00011653,4/6/1982,Female
NASAW00011654,18/3/1977,Female
NASAW00011655,28/3/1982,Female
NASAW00011656,19/3/1977,Female
NASAW00011657,31/10/1976,Female
NASAW00011658,3/8/1985,Male
NASAW00011659,20/10/1974,Male
NASAW00011660,19/1/1980,Female
NASAW00011661,3/1/1981,Male
NASAW00011662,1/1/1976,Male
NASAW00011663,25/8/1975,Male
NASAW00011664,9/8/1975,Female
NASAW00011665,11/6/1976,Female
NASAW00011666,13/12/1981,Male
NASAW00011667,18/12/1972,Male
NASAW00011668,2/3/1984,Female
NASAW00011669,17/10/1978,Female
NASAW00011670,15/4/1973,Female
NASAW00011671,15/11/1971,Female
NASAW00011672,20/3/1972,Male
NASAW00011673,3/2/1977,Female
NASAW00011674,15/2/1972,Female
NASAW00011675,29/1/1977,Male
NASAW00011676,13/8/1971,Male
NASAW00011677,10/10/1980,Male
NASAW00011678,28/7/1974,Male
NASAW00011679,5/11/1974,Male
NASAW00011680,4/3/1975,Female
NASAW00011681,4/2/1975,Female
NASAW00011682,12/3/1980,Female
NASAW00011683,5/7/1974,Male
NASAW00011684,31/3/1971,Male
NASAW00011685,7/8/1970,Male
NASAW00011686,9/4/1976,Male
NASAW00011687,9/7/1976,Male
NASAW00011688,21/12/1976,Female
NASAW00011689,6/3/1971,Male
NASAW00011690,10/1/1976,Female
NASAW00011691,30/12/1974,Female
NASAW00011692,17/12/1969,Male
NASAW00011693,21/9/1975,Female
NASAW00011694,21/9/1969,Male
NASAW00011695,10/7/1969,Male
NASAW00011696,2/4/1975,Female
NASAW00011697,21/6/1975,Male
NASAW00011698,22/11/1975,Male
NASAW00011699,12/9/1968,Male
NASAW00011700,24/5/1969,Male
NASAW00011701,16/8/1985,Male
NASAW00011702,13/10/1974,Female
NASAW00011703,22/12/1973,Female
NASAW00011704,29/11/1973,Male
NASAW00011705,18/5/1979,Female
NASAW00011706,13/8/1968,Male
NASAW00011707,20/6/1969,Female
NASAW00011708,15/9/1974,Female
NASAW00011709,18/8/1968,Female
NASAW00011710,17/9/1967,Female
NASAW00011711,4/12/1973,Male
NASAW00011712,2/5/1968,Female
NASAW00011713,17/9/1967,Male
NASAW00011714,16/4/1968,Female
NASAW00011715,20/3/1968,Female
NASAW00011716,20/4/1967,Male
NASAW00011717,29/8/1972,Male
NASAW00011718,10/11/1972,Female
NASAW00011719,5/5/1971,Male
NASAW00011720,23/9/1965,Female
NASAW00011721,18/1/1971,Female
NASAW00011722,30/12/1965,Male
NASAW00011723,17/2/1973,Male
NASAW00011724,12/10/1972,Male
NASAW00011725,16/3/1973,Male
NASAW00011726,13/1/1973,Male
NASAW00011727,5/1/1973,Male
NASAW00011728,6/7/1965,Male
NASAW00011729,3/5/1971,Male
NASAW00011730,1/4/1966,Female
NASAW00011731,16/2/1966,Female
NASAW00011732,4/2/1970,Male
NASAW00011733,23/7/1970,Female
NASAW00011734,21/8/1970,Male
NASAW00011735,21/7/1964,Female
NASAW00011736,21/9/1970,Male
NASAW00011737,4/2/1970,Female
NASAW00011738,5/10/1970,Male
NASAW00011739,10/11/1964,Male
NASAW00011740,21/10/1964,Female
NASAW00011741,22/1/1965,Female
NASAW00011742,1/5/1964,Male
NASAW00011743,9/9/1974,Male
NASAW00011744,6/3/1964,Female
NASAW00011745,11/4/1964,Female
NASAW00011746,30/5/1964,Male
NASAW00011747,9/8/1963,Female
NASAW00011748,15/1/1964,Male
NASAW00011749,9/9/1980,Male
NASAW00011750,17/9/1984,Female
NASAW00011751,14/1/1976,Female
NASAW00011752,3/5/1981,Female
NASAW00011753,15/9/1975,Female
NASAW00011754,5/1/1976,Female
NASAW00011755,12/11/1973,Male
NASAW00011756,13/3/1974,Female
NASAW00011757,11/5/1979,Male
NASAW00011758,19/12/1979,Male
NASAW00011759,18/11/1980,Female
NASAW00011760,25/4/1973,Female
NASAW00011761,16/10/1972,Male
NASAW00011762,17/2/1984,Male
NASAW00011763,10/8/1972,Male
NASAW00011764,13/1/1973,Female
NASAW00011765,6/4/1983,Male
NASAW00011766,1/1/1972,Female
NASAW00011767,20/5/1977,Female
NASAW00011768,3/4/1983,Male
NASAW00011769,14/2/1979,Female
NASAW00011770,20/2/1979,Male
NASAW00011771,7/4/1979,Male
NASAW00011772,21/1/1984,Male
NASAW00011773,3/1/1979,Male
NASAW00011774,10/10/1978,Female
NASAW00011775,22/11/2050,Female
